region,variable,min,max
PNW,pr,16.9310646057,6643.94628906
PNW,tasmin,255.543792725,294.654846191
PNW,tasmax,264.030822754,313.085601807
PNW,pet,1.69374871254,1615.60327148
PNW,gdd0,153.835906982,6452.95849609
PNW,coldestnight,242.554168701,277.464630127
PNW,freezefreeday,8.14999961853,364.939666748
Idaho,pr,23.4972877502,2608.93139648
Idaho,tasmin,255.543792725,293.698852539
Idaho,tasmax,267.225952148,313.085601807
Idaho,pet,1.78857004642,1615.60327148
Idaho,gdd0,949.275878906,6339.09082031
Idaho,coldestnight,242.554168701,267.338806152
Idaho,freezefreeday,53.5400009155,353.925872803
Washington,pr,17.6374034882,6643.94628906
Washington,tasmin,257.136779785,294.654846191
Washington,tasmax,264.030822754,310.944580078
Washington,pet,1.69374871254,1537.57043457
Washington,gdd0,153.835906982,6452.95849609
Washington,coldestnight,245.409667969,275.038391113
Washington,freezefreeday,8.14999961853,364.339660645
Oregon,pr,16.9310646057,4942.51025391
Oregon,tasmin,261.236846924,293.511352539
Oregon,tasmax,271.463775635,312.063049316
Oregon,pet,12.3019962311,1589.55505371
Oregon,gdd0,1005.46160889,6357.70361328
Oregon,coldestnight,248.398712158,277.46975708
Oregon,freezefreeday,64.6650009155,364.941375732
