region,variable,min,max, mean, std
PNW,pr,16.9310646057,6643.94628906,362.85917827,316.613548325
PNW,tasmin,255.543792725,294.654846191,276.908280507,2.86610169212
PNW,tasmax,264.030822754,313.085601807,289.5433619,3.04760888354
PNW,pet,1.69374871254,1615.60327148,423.729450617,66.2040686182
PNW,gdd0,153.835906982,6452.95849609,3766.2982015,740.925334652
PNW,coldestnight,242.554168701,277.464630127,259.147805642,5.12293345256
PNW,freezefreeday,8.14999961853,364.939666748,251.574924243,58.5865939732
Idaho,pr,23.4972877502,2608.93139648,268.337173168,148.861903426
Idaho,tasmin,255.543792725,293.698852539,275.173886941,2.51683866531
Idaho,tasmax,267.225952148,313.085601807,288.567194483,2.9460620613
Idaho,pet,1.78857004642,1615.60327148,427.670489861,58.7852641236
Idaho,gdd0,949.275878906,6339.09082031,3431.34255808,728.490277497
Idaho,coldestnight,242.554168701,267.338806152,254.732803677,3.1488277356
Idaho,freezefreeday,53.5400009155,353.925872803,212.989119893,41.0332011199
Washington,pr,17.6374034882,6643.94628906,480.155950819,415.490560612
Washington,tasmin,257.136779785,294.654846191,278.342122686,2.39905395808
Washington,tasmax,264.030822754,310.944580078,289.241545805,3.20998795163
Washington,pet,1.69374871254,1537.57043457,392.337079757,71.0551690457
Washington,gdd0,153.835906982,6452.95849609,3908.89976635,758.432187242
Washington,coldestnight,245.409667969,275.038391113,261.184828074,4.58555681164
Washington,freezefreeday,8.14999961853,364.339660645,283.504381297,50.6543310478
Oregon,pr,16.9310646057,4942.51025391,354.70247921,301.227817183
Oregon,tasmin,261.236846924,293.511352539,277.323282468,2.596711902
Oregon,tasmax,271.463775635,312.063049316,290.627899505,2.35934558627
Oregon,pet,12.3019962311,1589.55505371,444.416751269,55.2001909708
Oregon,gdd0,1005.46160889,6357.70361328,3950.3310526,631.139318463
Oregon,coldestnight,248.398712158,277.46975708,261.419678203,4.37101756309
Oregon,freezefreeday,64.6650009155,364.941375732,260.749854702,58.5247490619
